transaction_id,amount,hour_of_day,merchant_category,location_is_new,device_is_new,transactions_last_hour,is_fraud
1,938.54,22,electronics,1,0,1,0
2,6020.24,3,travel,0,0,3,0
3,2633.49,17,grocery,0,0,2,0
4,1825.89,4,grocery,0,0,0,0
5,339.25,15,atm,1,0,2,0
6,339.19,13,online,0,0,0,0
7,119.68,18,travel,1,1,0,1
8,4022.46,13,electronics,0,0,0,0
9,1838.16,8,jewelry,0,1,1,0
10,2462.5,5,grocery,0,0,3,0
11,41.6,16,grocery,1,1,0,0
12,7007.11,18,grocery,0,0,0,0
13,3572.86,11,online,0,0,1,0
14,477.38,3,online,0,0,1,0
15,401.36,15,travel,0,1,0,0
16,405.22,10,jewelry,0,0,1,0
17,725.51,21,electronics,0,0,2,0
18,1487.86,3,online,0,0,2,0
19,1131.07,16,atm,0,0,0,0
20,688.45,7,online,1,0,1,0
21,1892.74,13,grocery,0,0,0,0
22,300.47,1,electronics,0,0,0,0
23,691.03,10,travel,1,1,1,1
24,912.55,10,online,0,0,4,0
25,1217.87,23,grocery,0,0,1,0
26,3075.87,21,atm,0,0,1,0
27,445.47,23,atm,0,1,1,0
28,1444.06,5,travel,0,0,1,0
29,1795.01,20,travel,0,0,0,0
30,95.13,20,online,0,0,1,0
31,1870.67,13,travel,0,0,0,0
32,373.92,9,jewelry,1,0,1,0
33,134.53,7,jewelry,0,0,0,0
34,5947.38,6,grocery,0,0,1,0
35,6741.26,7,grocery,0,0,1,0
36,3304.66,7,grocery,0,1,2,0
37,726.58,22,jewelry,0,0,1,0
38,205.55,1,online,0,0,0,0
39,2305.5,15,online,0,0,1,0
40,1160.18,8,travel,0,0,1,0
41,260.3,12,online,0,0,1,0
42,1367.09,22,grocery,0,1,1,0
43,69.99,11,electronics,0,0,3,0
44,4800.85,21,grocery,0,0,1,0
45,598.92,16,jewelry,0,0,2,0
46,2172.51,1,electronics,0,0,0,0
47,747.09,12,travel,0,0,1,0
48,1468.22,0,atm,0,0,0,0
49,1582.45,18,online,0,0,0,0
50,408.78,10,online,0,0,0,0
51,6985.61,4,jewelry,1,1,1,0
52,2984.49,0,grocery,1,0,0,0
53,5610.19,19,grocery,0,0,0,0
54,4504.3,12,electronics,0,1,1,0
55,1822.11,7,online,0,0,0,0
56,5098.87,5,jewelry,0,0,1,0
57,185.31,16,travel,0,0,1,0
58,436.27,11,grocery,0,0,1,0
59,92.56,0,online,1,0,1,0
60,787.06,2,atm,0,0,0,0
61,984.26,13,jewelry,0,0,2,0
62,633.12,7,electronics,0,0,1,0
63,3529.12,10,grocery,0,0,2,0
64,882.45,13,grocery,0,0,1,0
65,659.61,7,travel,0,0,2,0
66,1564.81,2,grocery,0,0,0,0
67,303.8,6,jewelry,0,0,3,0
68,3240.97,18,online,0,0,0,0
69,154.95,3,online,0,0,3,0
70,8668.29,15,online,0,0,2,0
71,2958.97,12,atm,0,0,1,0
72,443.08,19,atm,1,0,3,0
73,11.07,18,grocery,0,0,0,0
74,3379.79,4,atm,0,0,2,0
75,2454.19,22,atm,0,0,2,0
76,2611.33,4,travel,1,0,2,0
77,2950.43,19,atm,0,0,2,0
78,153.86,23,electronics,0,1,1,0
79,887.79,3,electronics,0,0,0,0
80,246.3,1,electronics,1,1,1,1
81,3977.06,12,grocery,0,0,1,0
82,1952.6,15,online,0,0,1,0
83,803.64,21,travel,0,0,1,0
84,131.34,1,grocery,0,0,3,0
85,744.98,18,online,0,0,2,0
86,786.63,16,travel,0,0,0,0
87,2615.75,4,travel,0,0,2,0
88,2029.78,17,travel,1,0,1,0
89,4364.5,22,electronics,0,0,1,0
90,1278.13,20,electronics,0,0,0,0
91,254.74,17,electronics,0,0,0,0
92,2498.25,7,travel,0,1,0,0
93,2860.79,14,jewelry,0,0,0,0
94,1647.77,12,travel,0,0,0,0
95,2947.78,12,electronics,0,0,1,0
96,1361.63,15,travel,0,0,2,0
97,1479.36,21,electronics,0,0,1,0
98,1115.63,19,electronics,0,0,2,0
99,51.5,12,electronics,1,0,2,0
100,228.33,19,jewelry,1,0,0,0
101,63.87,1,online,1,0,0,0
102,2023.46,2,travel,0,0,2,0
103,754.79,14,grocery,0,0,0,0
104,1420.87,22,electronics,1,0,1,0
105,4762.53,18,jewelry,0,0,1,0
106,573.48,12,grocery,0,0,0,0
107,1056.56,4,online,0,0,1,0
108,2817.5,21,travel,0,0,0,0
109,519.61,5,jewelry,0,0,1,0
110,160.21,13,electronics,0,0,1,0
111,684.28,3,electronics,0,0,2,0
112,351.62,21,electronics,0,0,0,0
113,5309.9,18,jewelry,0,0,2,0
114,3301.77,22,grocery,0,0,0,0
115,2006.99,6,online,0,0,2,0
116,4103.04,3,travel,0,0,2,0
117,3255.94,1,online,0,0,1,0
118,412.99,6,electronics,0,0,0,0
119,4461.63,2,online,0,0,1,0
120,1550.2,14,grocery,0,0,1,0
121,3294.7,0,atm,0,0,2,0
122,4528.49,1,atm,0,0,1,0
123,765.46,9,travel,0,0,2,0
124,233.18,15,travel,0,1,0,0
125,517.37,14,online,0,1,0,0
126,1114.12,23,travel,0,1,3,0
127,3407.66,14,jewelry,0,0,1,0
128,3942.69,13,grocery,0,0,2,0
129,13.95,21,electronics,1,0,1,0
130,1429.75,13,electronics,1,0,0,0
131,1080.55,5,online,0,0,1,0
132,502.33,13,electronics,0,0,1,0
133,255.36,16,online,1,0,1,0
134,823.82,17,travel,1,1,1,1
135,5726.24,19,travel,0,0,2,0
136,780.77,18,jewelry,0,0,1,0
137,1462.91,16,jewelry,0,0,0,0
138,2428.17,15,grocery,0,0,0,0
139,903.95,7,electronics,0,1,2,0
140,7135.6,6,jewelry,0,0,2,0
141,6564.02,19,grocery,0,0,4,0
142,580.12,11,atm,1,1,1,1
143,1375.32,8,jewelry,0,0,1,0
144,715.86,13,grocery,0,0,1,0
145,670.5,19,online,0,0,2,0
146,75.17,0,online,0,0,0,0
147,1880.98,9,grocery,1,0,0,0
148,1397.04,16,travel,0,0,0,0
149,105.7,16,atm,0,1,1,0
